Year,ST,STATE,TotalPopulation,WorkForce,Employed,EmployedPercent,Unemployed,UnemployedPercent,H_MEAN,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90
2005,AL,Alabama,"45,69,805",2146037,2049794,95.5153149736,96243,4.4846850264,15.54,6.44,8.29,12.07,18.91,27.76
2005,AK,Alaska,"6,66,946",344564,320813,93.1069409457,23751,6.89305905434,20.55,9.05,11.81,17.30,25.86,35.62
2005,AZ,Arizona,"58,39,077",2883225,2748371,95.3228069263,134854,4.67719307373,16.80,6.99,9.10,13.28,20.19,30.65
2005,AR,Arkansas,"27,81,097",1345923,1275451,94.7640392504,70472,5.23596074961,14.31,6.46,8.19,11.53,17.19,25.08
2005,CA,California,"3,58,27,943",17530070,16582652,94.5954693849,947418,5.40453061511,20.44,7.91,9.87,15.80,25.74,39.26
2005,CO,Colorado,"46,31,888",2563915,2435092,94.9755354604,128823,5.02446453958,19.36,7.75,10.40,15.53,23.85,35.32
2005,CT,Connecticut,"35,06,956",1796979,1709384,95.1254299577,87595,4.87457004228,21.57,8.63,11.43,17.30,26.59,38.99
2005,DE,Delaware,"8,45,150",432409,414465,95.8502251341,17944,4.14977486593,18.84,7.53,9.98,14.95,23.41,34.03
2005,FL,Florida,"1,78,42,038",8720978,8398978,96.307753557,322000,3.692246443,16.55,6.97,8.90,12.75,19.77,29.51
2005,GA,Georgia,"89,25,922",4586427,4341229,94.6538340194,245198,5.34616598062,17.45,6.77,9.13,13.49,21.17,32.02
2005,HI,Hawaii,"12,92,729",626913,608957,97.1358067228,17956,2.86419327722,17.81,7.33,9.84,14.39,21.86,32.48
2005,ID,Idaho,"14,28,241",731671,702289,95.9842606855,29382,4.01573931453,15.89,6.72,8.86,12.84,19.64,27.55
2005,IL,Illinois,"1,26,09,903",6397822,6033921,94.3121112153,363901,5.68788878465,18.89,7.11,9.55,14.78,23.78,34.86
